Title,Year,Certificate,Length,Genre,Rating
Fun Size,2012,PG-13,86,"Adventure, Comedy            ",5.4
Spanish Affair,2014,PG,98,"Comedy, Romance            ",6.5
Woman in the Dunes,1964,R,147,"Drama, Thriller            ",8.5
Stealing Harvard,2002,PG-13,85,"Comedy, Crime            ",5.1
Clockstoppers,2002,R,94,"Action, Adventure, Comedy            ",5.2
Tristram Shandy,2005,Passed,94,Comedy            ,6.7
Cookies Fortune,1999,R,118,"Comedy, Drama            ",6.8
Lenny,1974,Not Rated,111,"Biography, Drama            ",7.5
"Now, Voyager",1942,Not Rated,117,"Drama, Romance            ",7.9
Zombeavers,2014,Not Rated,77,"Comedy, Horror            ",4.8
Before the Rain,1994,R,113,"Drama, Romance, War            ",7.9
Better Living Through Chemistry,2014,R,91,"Comedy, Drama            ",6.2
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,R,68,"Animation, Adventure, Music            ",7.8
Burnt by the Sun,1994,R,135,"Drama, War            ",7.8
Replicant,2001,R,100,"Action, Sci-Fi, Thriller            ",5.3
The Business,2005,PG,97,"Crime, Drama, Thriller            ",6.6
Versus,2000,Not Rated,119,"Action, Drama, Fantasy            ",6.3
Samaritan Girl,2004,R,97,Drama            ,7.0
The Color of Paradise,1999,R,90,"Drama, Family            ",8.1
Revanche,2008,R,121,"Crime, Drama, Romance            ",7.5
Made in Dagenham,2010,PG-13,113,"Comedy, Drama, History            ",7.1
Our Brand Is Crisis,2015,PG,107,"Comedy, Drama            ",6.1
A Fantastic Fear of Everything,2012,G,100,"Comedy, Horror            ",5.8
Beyond the Lights,2014,PG-13,116,"Drama, Music, Romance            ",6.8
Thunderbirds,2004,Not Rated,95,"Action, Adventure, Comedy            ",4.3
Quest for Camelot,1998,R,86,"Animation, Adventure, Comedy            ",6.2
Copying Beethoven,2006,PG,104,"Biography, Drama, Music            ",6.7
The Shrine,2010,R,85,Horror            ,5.5
Lord of Illusions,1995,Not Rated,109,"Horror, Mystery, Thriller            ",6.0
Smokey and the Bandit II,1980,R,100,"Action, Adventure, Comedy            ",5.2
Read My Lips,2001,Not Rated,115,"Crime, Drama, Romance            ",7.3
Johnny Guitar,1954,R,110,"Drama, Western            ",7.6
Venus,2006,R,95,"Comedy, Drama, Romance            ",7.1
The Heir Apparent: Largo Winch,2008,PG-13,108,"Action, Thriller            ",6.4
Ride with the Devil,1999,R,138,"Drama, Romance, War            ",6.7
Primeval,2007,R,93,"Action, Adventure, Crime            ",4.8
Becket,1964,PG,148,"Biography, Drama, History            ",7.8
Diabolique,1996,R,107,"Drama, Horror, Mystery            ",5.4
Postcards from the Edge,1990,R,101,"Comedy, Drama            ",6.7
Henry Poole Is Here,2008,R,99,"Comedy, Drama            ",6.4
The Crime of Padre Amaro,2002,PG,118,"Drama, Romance            ",6.7
The Entity,1982,PG-13,125,"Drama, Horror            ",6.7
Sunshine,1999,Not Rated,181,"Drama, History, Romance            ",7.5
Agent Cody Banks 2: Destination London,2004,PG-13,100,"Action, Adventure, Comedy            ",4.5
The Choice,2016,G,111,"Drama, Romance            ",6.5
Battle of the Bulge,1965,R,167,"Drama, History, War            ",6.8
Johnny Dangerously,1984,Passed,90,"Comedy, Crime            ",6.5
Barefoot in the Park,1967,R,106,"Comedy, Romance            ",7.0
The Abandoned,2006,R,99,"Horror, Mystery, Thriller            ",5.5
Yankee Doodle Dandy,1942,PG,126,"Biography, Drama, Family            ",7.6
Night Shift,1982,Not Rated,106,Comedy            ,6.5
Summer Storm,2004,PG-13,98,"Comedy, Drama, Romance            ",7.3
Phantom of the Paradise,1974,PG-13,91,"Comedy, Drama, Fantasy            ",7.3
Amen.,2002,Not Rated,132,"Biography, Crime, Drama            ",7.2
Mrs. Brown,1997,PG,101,"Biography, Drama, History            ",7.2
La Grande Vadrouille,1966,G,132,"Adventure, Comedy, War            ",7.9
Love Aaj Kal,2009,Not Rated,128,"Comedy, Drama, Romance            ",6.8
Niagara,1953,Not Rated,92,"Film-Noir, Thriller            ",7.0
Tess,1979,PG,186,"Drama, Romance            ",7.3
I Love You to Death,1990,R,97,"Comedy, Crime            ",6.4
The Parallax View,1974,R,102,"Drama, Thriller            ",7.1
Subway,1985,R,104,Thriller            ,6.5
A Short Film About Killing,1988,Not Rated,84,"Crime, Drama            ",8.0
The Baytown Outlaws,2012,R,98,"Action, Comedy, Crime            ",6.3
Starry Eyes,2014,Not Rated,98,"Horror, Mystery            ",6.0
SpaceCamp,1986,PG,107,"Adventure, Family, Sci-Fi            ",5.7
Biker Boyz,2003,PG-13,110,"Action, Drama            ",4.6
Before the Fall,2004,R,110,"Drama, Sport, Thriller            ",7.4
College,2008,PG-13,94,Comedy            ,4.5
With Honors,1994,Not Rated,101,"Comedy, Drama            ",6.7
Lore,2012,R,109,"Drama, Romance, War            ",7.1
In Dreams,1999,R,100,"Drama, Fantasy, Thriller            ",5.5
Gangster No. 1,2000,PG,103,"Crime, Drama, Thriller            ",6.7
The Sugarland Express,1974,R,110,"Crime, Drama            ",6.7
Threesome,1994,R,93,"Comedy, Drama, Romance            ",6.3
Unlawful Entry,1992,Not Rated,111,"Crime, Drama, Thriller            ",6.4
Sabotage,1936,PG,76,"Crime, Thriller            ",7.0
Alpha and Omega,2010,Not Rated,90,"Animation, Adventure, Comedy            ",5.1
Stray Dog,1949,R,122,"Crime, Drama, Film-Noir            ",7.8
Hallam Foe,2007,R,95,"Drama, Mystery, Romance            ",6.9
Dragon,2011,R,98,"Action, Crime, Drama            ",7.0
Bang Bang Youre Dead,2002,PG-13,93,"Crime, Drama, Thriller            ",7.7
Corky Romano,2001,Not Rated,86,"Comedy, Crime            ",4.7
Café de Flore,2011,Not Rated,120,"Drama, Romance            ",7.3
Vampyr,1932,R,75,"Fantasy, Horror            ",7.4
The Private Lives of Pippa Lee,2009,R,98,"Comedy, Drama, Romance            ",6.3
A Late Quartet,2012,R,105,"Drama, Music            ",7.1
Right at Your Door,2006,PG,96,"Drama, Sci-Fi, Thriller            ",6.0
Jalla! Jalla!,2000,R,88,"Comedy, Drama, Romance            ",6.8
One Crazy Summer,1986,Not Rated,93,"Comedy, Romance            ",6.4
Shinobi: Heart Under Blade,2005,PG-13,107,"Action, Drama, Fantasy            ",6.8
Lakshya,2004,Not Rated,186,"Action, Drama, Romance            ",7.8
Another Stakeout,1993,R,108,"Comedy, Crime            ",5.6
House,1977,Not Rated,88,"Comedy, Horror            ",7.3
Hidden,2015,R,84,"Horror, Sci-Fi, Thriller            ",6.4
Imitation of Life,1959,PG-13,125,Drama            ,7.8
Snow Angels,2007,G,107,"Crime, Drama, Romance            ",6.8
They,2002,R,89,"Horror, Mystery, Thriller            ",4.8
The Wiz,1978,Not Rated,134,"Adventure, Family, Fantasy            ",5.5
Jin-Roh: The Wolf Brigade,1999,R,102,"Animation, Action, Drama            ",7.3
We Have a Pope,2011,Not Rated,102,"Comedy, Drama            ",6.7
La fille sur le pont,1999,PG,90,"Comedy, Drama, Romance            ",7.5
Rocket Singh: Salesman of the Year,2009,Not Rated,150,"Comedy, Drama            ",7.5
My Favorite Martian,1999,R,94,"Comedy, Family, Sci-Fi            ",5.1
The Trip to Italy,2014,Not Rated,108,"Comedy, Drama            ",6.6
"Pretty Village, Pretty Flame",1996,Not Rated,115,"Drama, History, War            ",8.6
Kiss of the Spider Woman,1985,Not Rated,120,Drama            ,7.3
Prem Ratan Dhan Payo,2015,PG,164,"Action, Drama, Musical            ",4.4
Evangelion: 2.0 You Can (Not) Advance,2009,R,112,"Animation, Action, Drama            ",7.9
Snow Cake,2006,Passed,112,"Drama, Romance            ",7.4
Village of the Damned,1960,PG-13,77,"Horror, Sci-Fi            ",7.3
Dragonslayer,1981,R,109,"Action, Adventure, Fantasy            ",6.6
Bad Boys,1983,R,123,"Crime, Drama, Thriller            ",7.2
The Alamo,1960,PG-13,162,"Adventure, Drama, History            ",6.8
Excess Baggage,1997,R,101,"Action, Comedy, Crime            ",5.4
The Wedding Banquet,1993,PG-13,106,"Comedy, Drama, Romance            ",7.6
Tales from the Darkside: The Movie,1990,R,93,"Comedy, Fantasy, Horror            ",6.2
The Lady in the Van,2015,PG-13,104,"Biography, Comedy, Drama            ",6.7
Final Analysis,1992,Not Rated,124,"Drama, Thriller            ",5.9
Race,2016,PG-13,134,"Biography, Drama, Sport            ",7.1
Zabriskie Point,1970,Not Rated,113,Drama            ,6.9
Selvi Boylum Al Yazmalim,1977,R,90,"Drama, Romance            ",8.5
The Bands Visit,2007,R,87,"Comedy, Drama, Music            ",7.5
Polisse,2011,R,127,"Crime, Drama            ",7.3
High School High,1996,Not Rated,86,"Comedy, Crime, Romance            ",5.5
Gentlemans Agreement,1947,PG-13,118,"Drama, Romance            ",7.2
Shade,2003,Not Rated,101,"Crime, Thriller            ",6.3
At Close Range,1986,G,111,"Crime, Drama            ",6.9
The Ladies Man,2000,R,84,Comedy            ,5.2
Raajneeti,2010,R,163,"Crime, Drama, Thriller            ",7.1
"Welcome Home, Roscoe Jenkins",2008,R,114,"Comedy, Romance            ",5.5
Abbott and Costello Meet Frankenstein,1948,R,83,"Comedy, Family, Fantasy            ",7.3
Animal Crackers,1930,R,97,"Comedy, Family, Musical            ",7.4
Maurice,1987,PG-13,140,"Drama, Romance            ",7.6
V/H/S Viral,2014,R,81,"Adventure, Crime, Horror            ",4.2
Sisters,1972,R,93,"Horror, Mystery, Thriller            ",6.9
The Slammin Salmon,2009,PG,99,Comedy            ,6.4
Twelve,2010,Passed,93,"Action, Drama, Thriller            ",5.6
Project A,1983,R,105,"Action, Adventure, Comedy            ",7.3
Guzaarish,2010,R,126,"Drama, Romance            ",7.4
Romeo Is Bleeding,1993,Not Rated,110,"Crime, Drama, Romance            ",6.6
Heaven & Earth,1993,Not Rated,140,"Action, Biography, Drama            ",6.8
Dragon Hunters,2008,Passed,80,"Animation, Action, Adventure            ",6.5
Intolerance,1916,NC-17,163,"Drama, History            ",7.7
Cadillac Man,1990,R,97,"Comedy, Crime            ",5.7
Howl,2010,R,84,"Biography, Drama, Romance            ",6.6
Dostana,2008,Passed,145,"Comedy, Drama, Romance            ",6.4
Palindromes,2004,Not Rated,100,"Comedy, Drama            ",6.7
Nowhere in Africa,2001,R,141,"Biography, Drama, History            ",7.5
Welcome to Mooseport,2004,PG-13,110,"Comedy, Romance            ",5.3
Extinction,2015,R,112,"Action, Adventure, Drama            ",5.8
Revenge of the Nerds II: Nerds in Paradise,1987,PG-13,88,Comedy            ,5.1
Fireflies in the Garden,2008,R,99,Drama            ,6.4
A Day at the Races,1937,Passed,111,"Comedy, Family, Musical            ",7.5
Used Cars,1980,R,113,Comedy            ,6.7
Mediterraneo,1991,R,96,"Comedy, Drama, War            ",7.4
Bhool Bhulaiyaa,2007,Not Rated,159,"Comedy, Horror, Mystery            ",7.4
Sparks,2013,Not Rated,90,"Action, Sci-Fi, Thriller            ",4.7
Animal Factory,2000,R,94,"Crime, Drama            ",6.6
The Crossing Guard,1995,R,111,"Drama, Thriller            ",6.3
Merry Christmas Mr. Lawrence,1983,R,123,"Drama, War            ",7.2
Terminal Velocity,1994,PG-13,102,"Action, Mystery, Romance            ",5.5
Iron Eagle,1986,PG-13,117,"Action, Thriller, War            ",5.5
Onibaba,1964,Not Rated,103,"Drama, Horror, Thriller            ",7.9
Tetro,2009,R,127,Drama            ,6.8
April Fools Day,1986,R,89,"Horror, Mystery            ",6.1
Blind Fury,1989,R,86,"Action, Comedy, Crime            ",6.3
Timbuktu,2014,PG-13,96,"Drama, War            ",7.1
A Night to Remember,1958,Not Rated,123,"Drama, History            ",7.9
The Pillow Book,1995,Not Rated,126,Drama            ,6.5
Asoka,2001,R,180,"Action, Biography, Drama            ",6.4
Daydream Nation,2010,R,98,"Drama, Romance            ",6.3
Senseless,1998,R,93,"Comedy, Romance            ",6.0
Maratonci trce pocasni krug,1982,Unrated,92,"Comedy, Drama            ",8.8
Alfie,1966,G,114,"Comedy, Drama            ",7.0
Homeward Bound II: Lost in San Francisco,1996,PG,88,"Adventure, Comedy, Family            ",5.9
The Wizard,1989,R,100,"Adventure, Comedy, Drama            ",6.1
Bordello of Blood,1996,R,87,"Comedy, Fantasy, Horror            ",5.4
Owning Mahowny,2003,R,104,"Crime, Drama, Thriller            ",7.0
My Beautiful Laundrette,1985,R,97,"Comedy, Drama, Romance            ",6.8
A.C.O.D.,2013,PG-13,88,Comedy            ,5.6
Something New,2006,G,99,"Comedy, Drama, Romance            ",6.6
Were Back! A Dinosaurs Story,1993,R,72,"Animation, Adventure, Comedy            ",6.0
The Day,2011,R,87,"Action, Drama, Horror            ",5.2
Year of the Dragon,1985,PG-13,134,"Action, Crime, Drama            ",6.8
Joes Apartment,1996,R,80,"Comedy, Fantasy, Musical            ",5.5
Crossroads,1986,Not Rated,99,"Drama, Music, Mystery            ",7.1
Kaboom,2010,PG-13,86,"Comedy, Horror, Mystery            ",5.7
Alice,1990,Not Rated,106,"Comedy, Romance            ",6.6
Singh Is King,2008,R,135,"Action, Comedy, Crime            ",5.7
Mommie Dearest,1981,Not Rated,129,"Biography, Drama            ",6.6
"Faster, Pussycat! Kill! Kill!",1965,Approved,83,"Action, Comedy            ",6.6
The Spy Who Came in from the Cold,1965,Not Rated,112,"Drama, Thriller            ",7.5
XXY,2007,R,86,"Drama, Romance            ",7.0
The Paper,1994,R,112,"Comedy, Drama            ",6.7
[REC] 4: Apocalypse,2014,R,95,"Horror, Thriller            ",5.3
Flash Point,2007,R,88,"Action, Crime, Thriller            ",6.7
Going Overboard,1989,Not Rated,99,Comedy            ,1.8
Faust,1926,Not Rated,107,"Drama, Fantasy, Horror            ",8.1
A Coffee in Berlin,2012,R,86,"Comedy, Drama            ",7.3
Get Real,1998,R,108,"Comedy, Drama, Romance            ",7.5
Missing in Action,1984,R,101,"Action, Adventure, Drama            ",5.4
Sweet Sixteen,2002,G,106,"Crime, Drama            ",7.4
The Love Bug,1969,Not Rated,108,"Comedy, Family, Sport            ",6.5
Parallels,2015,PG,83,"Action, Sci-Fi            ",6.0
Rebound,2005,PG-13,86,"Comedy, Family, Sport            ",5.1
The Mighty,1998,R,100,"Comedy, Drama            ",7.2
The 36th Chamber of Shaolin,1978,Not Rated,116,"Action, Adventure, Drama            ",7.6
Welcome,2007,PG,159,"Comedy, Crime, Drama            ",7.0
Foul Play,1978,G,116,"Comedy, Mystery, Thriller            ",6.8
The Road Home,1999,Not Rated,89,"Drama, Romance            ",7.8
A Woman Is a Woman,1961,PG-13,84,"Comedy, Drama, Romance            ",7.3
The Sapphires,2012,R,103,"Biography, Comedy, Drama            ",7.0
(T)Raumschiff Surprise - Periode 1,2004,TV-14,87,"Comedy, Sci-Fi            ",5.5
The Reluctant Fundamentalist,2012,R,130,"Drama, Thriller            ",6.8
Manjhi: The Mountain Man,2015,PG,120,"Biography, Drama            ",8.0
Something to Talk About,1995,PG-13,106,"Comedy, Drama, Romance            ",5.7
Weekend at Bernies II,1993,PG,97,"Adventure, Comedy, Fantasy            ",4.8
PCU,1994,Not Rated,79,Comedy            ,6.5
Baby Boom,1987,PG-13,110,"Comedy, Drama, Romance            ",6.3
LAtalante,1934,Not Rated,89,"Comedy, Drama, Romance            ",7.7
Diary of a Mad Black Woman,2005,PG-13,116,"Comedy, Drama, Romance            ",5.7
Cat Ballou,1965,R,97,Western            ,6.7
Dreamscape,1984,R,99,"Action, Adventure, Horror            ",6.3
The Seventh Sign,1988,PG,97,"Drama, Fantasy, Horror            ",5.8
Total Eclipse,1995,R,111,"Biography, Drama, Romance            ",6.5
Moms Night Out,2014,R,98,Comedy            ,5.3
The Twelve Tasks of Asterix,1976,PG-13,82,"Animation, Adventure, Comedy            ",7.6
The Chamber,1996,PG-13,113,"Crime, Drama, Thriller            ",6.0
These Final Hours,2013,Not Rated,87,"Drama, Sci-Fi, Thriller            ",6.6
Emperor,2012,R,105,"Drama, History, War            ",6.5
The Out-of-Towners,1999,Not Rated,90,Comedy            ,5.5
Open Windows,2014,R,100,"Crime, Mystery, Thriller            ",5.1
Above the Rim,1994,R,96,"Crime, Drama, Sport            ",6.6
High Society,1956,Not Rated,111,"Comedy, Musical, Romance            ",6.9
Ong Bak 3,2010,Not Rated,99,Action            ,4.9
Timer,2009,PG-13,99,"Comedy, Drama, Romance            ",6.5
The Human Race,2013,PG,87,"Action, Comedy, Horror            ",5.0
I Vitelloni,1953,PG,104,"Comedy, Drama            ",7.8
The Consequences of Love,2004,Not Rated,100,"Crime, Drama, Romance            ",7.5
Radio Flyer,1992,TV-G,114,Drama            ,6.9
The BFG,2016,PG-13,117,"Adventure, Family, Fantasy            ",6.3
Imagine That,2009,Passed,107,"Comedy, Drama, Family            ",5.6
The Deep End of the Ocean,1999,PG-13,106,Drama            ,6.3
The Pinchcliffe Grand Prix,1975,G,88,"Animation, Comedy, Family            ",8.4
Tarzan,2013,PG,94,"Animation, Action, Adventure            ",4.8
Hell,2011,R,89,"Horror, Sci-Fi, Thriller            ",5.9
In Your Name,2003,Not Rated,132,"Action, Drama, Romance            ",7.2
Oye Lucky! Lucky Oye!,2008,Not Rated,125,"Comedy, Crime, Drama            ",7.7
100 Feet,2008,R,96,"Horror, Mystery, Thriller            ",5.4
Der blaue Engel,1930,Passed,104,"Drama, Music            ",7.7
Returner,2002,R,116,"Action, Adventure, Sci-Fi            ",6.4
Greedy,1994,PG-13,113,Comedy            ,6.3
Broken,2012,Not Rated,91,"Drama, Romance            ",7.2
December Boys,2007,PG-13,105,"Drama, Romance            ",6.5
The Burning,1981,R,91,Horror            ,6.3
2001 Maniacs,2005,R,87,"Comedy, Horror            ",5.3
Free Fall,2013,Not Rated,97,"Drama, Romance            ",7.5
Grind,2003,PG-13,105,"Adventure, Comedy, Sport            ",5.9
The Other Sister,1999,PG-13,129,"Comedy, Drama, Romance            ",6.4
Beyond a Reasonable Doubt,2009,PG-13,106,"Crime, Drama, Mystery            ",5.8
The Aura,2005,Not Rated,134,"Crime, Drama, Thriller            ",7.1
Earthquake,1974,PG,122,"Action, Drama, Thriller            ",5.9
Prom Night,1980,R,92,"Horror, Mystery, Thriller            ",5.3
Rio Grande,1950,Passed,105,"Drama, Romance, Western            ",7.0
The Death of Mr. Lazarescu,2005,R,153,"Comedy, Drama            ",7.8
Sidewalls,2011,Not Rated,95,"Comedy, Drama            ",7.5
Ali Baba and the Seven Dwarfs,2015,Not Rated,114,"Action, Comedy, Drama            ",5.6
Wild Bill,2011,Not Rated,98,Drama            ,7.2
Singham,2011,R,143,"Action, Crime, Drama            ",6.8
The Phantom of Liberty,1974,R,104,Comedy            ,7.8
American Ninja,1985,Not Rated,95,"Action, Adventure, Romance            ",5.4
Hum Dil De Chuke Sanam,1999,PG-13,188,"Comedy, Drama, Musical            ",7.4
Castaway on the Moon,2009,R,116,"Comedy, Drama, Romance            ",8.0
Ginger Snaps 2: Unleashed,2004,Approved,94,"Horror, Thriller            ",6.4
Animal Farm,1954,R,72,"Animation, Drama            ",7.2
Infini,2015,R,110,"Horror, Sci-Fi, Thriller            ",5.3
The Last Circus,2010,R,107,"Comedy, Drama, Horror            ",6.5
Brother,1997,R,99,"Action, Crime, Drama            ",7.8
Rise: Blood Hunter,2007,R,97,"Action, Crime, Horror            ",4.9
Sherrybaby,2006,PG-13,96,Drama            ,6.6
The Oranges,2011,PG-13,90,"Comedy, Drama, Romance            ",5.8
Captain Alatriste: The Spanish Musketeer,2006,Not Rated,145,"Adventure, Drama, History            ",6.1
The War,1994,R,126,"Drama, History, War            ",6.7
The Gate,1987,R,85,"Fantasy, Horror            ",6.0
Dabangg 2,2012,PG-13,120,"Action, Comedy, Crime            ",4.8
Flashbacks of a Fool,2008,Approved,109,Drama            ,6.8
My Little Eye,2002,PG-13,95,"Horror, Mystery, Thriller            ",5.5
The Sand Pebbles,1966,R,182,"Adventure, Drama, Romance            ",7.5
Von Ryans Express,1965,GP,117,"Action, Adventure, War            ",7.1
Running on Empty,1988,R,116,"Crime, Drama, Music            ",7.6
Towelhead,2007,R,124,Drama            ,6.9
The Cowboys,1972,R,134,"Adventure, Drama, Western            ",7.4
Jagged Edge,1985,Not Rated,108,"Drama, Mystery, Thriller            ",6.5
Death Wish II,1982,R,89,"Action, Crime, Drama            ",6.0
Rabid,1977,Not Rated,91,"Horror, Sci-Fi            ",6.3
Ronal the Barbarian,2011,Not Rated,89,"Animation, Action, Adventure            ",6.6
Dread,2009,R,98,"Drama, Horror, Thriller            ",5.6
The Cranes Are Flying,1957,R,95,"Drama, Romance, War            ",8.3
Frequencies,2013,R,109,"Mystery, Romance, Sci-Fi            ",6.7
Dance of the Dead,2008,Not Rated,87,"Action, Comedy, Horror            ",5.8
Get a Job,2016,R,83,Comedy            ,5.2
Anatomy,2000,PG,103,"Horror, Thriller            ",6.0
The Isle,2000,R,90,"Drama, Thriller            ",6.9
The Overnight,2015,Not Rated,79,"Comedy, Mystery            ",6.1
Cats & Dogs: The Revenge of Kitty Galore,2010,R,82,"Action, Comedy, Family            ",4.3
The Breed,2006,R,91,"Action, Comedy, Horror            ",5.1
Sansho the Bailiff,1954,Passed,124,Drama            ,8.4
Ten Inch Hero,2007,Not Rated,102,"Comedy, Drama, Romance            ",7.3
The Hit List,2011,PG,90,"Action, Thriller            ",5.3
Gunfight at the O.K. Corral,1957,PG-13,122,"Biography, Drama, Western            ",7.1
A Few Best Men,2011,PG,97,"Comedy, Romance            ",5.6
Whats in a Name?,2012,Approved,109,"Comedy, Drama            ",7.3
Critters 2,1988,R,86,"Comedy, Horror, Sci-Fi            ",5.5
Breaker Morant,1980,Not Rated,107,"Drama, History, War            ",7.8
"Suddenly, Last Summer",1959,Passed,114,"Drama, Mystery, Thriller            ",7.5
Cannibal! The Musical,1993,PG-13,95,"Comedy, Horror, Musical            ",7.0
Kaththi,2014,R,166,"Action, Drama            ",8.1
The Ipcress File,1965,Not Rated,109,"Drama, Thriller            ",7.2
Delicacy,2011,R,108,"Comedy, Drama, Romance            ",6.6
Goodbye Bafana,2007,G,118,"Biography, Drama, History            ",7.1
The Secret Life of Words,2005,R,115,"Drama, Romance            ",7.4
Fair Game,1995,PG-13,91,"Action, Romance, Thriller            ",4.3
The Bishops Wife,1947,PG-13,109,"Comedy, Drama, Fantasy            ",7.6
Joshua,2007,R,106,"Drama, Horror, Thriller            ",5.8
Dance Flick,2009,PG,83,"Action, Comedy, Music            ",3.6
Untamed Heart,1993,18+,102,"Drama, Romance            ",6.8
Filantropica,2002,PG-13,110,"Comedy, Drama            ",8.4
Return of the Living Dead III,1993,R,97,Horror            ,5.9
Summer Rental,1985,NC-17,87,Comedy            ,6.3
Maniac,1980,Not Rated,87,"Crime, Drama, Horror            ",6.4
The Abominable Dr. Phibes,1971,R,94,"Comedy, Horror            ",7.1
Extracted,2012,Not Rated,89,"Drama, Sci-Fi            ",6.4
Henry & June,1990,Not Rated,136,"Biography, Drama            ",6.3
Contracted,2013,R,84,"Drama, Horror, Thriller            ",5.3
Conversations with Other Women,2005,R,84,"Comedy, Drama, Romance            ",6.9
Kwaidan,1964,R,183,"Drama, Fantasy, Horror            ",7.9
Insomnia,1997,PG-13,96,"Crime, Mystery, Thriller            ",7.2
Trailer Park Boys: The Movie,2006,R,95,"Comedy, Crime            ",7.1
The Train,1964,Not Rated,133,"Action, Thriller, War            ",7.8
Swiss Family Robinson,1960,G,126,"Adventure, Family            ",7.1
Popstar: Never Stop Never Stopping,2016,R,87,"Comedy, Drama, Music            ",6.7
Set It Off,1996,R,123,"Action, Crime, Drama            ",6.9
Play It to the Bone,1999,R,124,"Comedy, Drama, Sport            ",5.5
Trinity Is Still My Name,1971,G,117,"Comedy, Western            ",7.2
Veronika Decides to Die,2009,R,103,"Drama, Romance            ",6.3
Jabberwocky,1977,PG,105,"Adventure, Comedy, Fantasy            ",6.1
The Professionals,1966,PG-13,117,"Action, Adventure, Drama            ",7.3
Valley Girl,1983,R,99,"Comedy, Romance            ",6.4
RRRrrrr!!!,2004,R,98,"Comedy, Crime, Mystery            ",5.8
Home Sweet Hell,2015,PG-13,98,"Comedy, Crime, Thriller            ",5.5
The Return,2005,PG-13,85,"Horror, Mystery, Thriller            ",4.7
The Romantics,2010,Not Rated,95,"Comedy, Drama, Romance            ",5.0
Love in the Afternoon,1957,PG,130,"Comedy, Crime, Drama            ",7.1
Urban Cowboy,1980,R,132,"Drama, Romance, Western            ",6.4
Talk Radio,1988,PG,110,"Drama, Thriller            ",7.2
Just Wright,2010,Not Rated,100,"Comedy, Romance, Sport            ",5.9
The Turin Horse,2011,PG-13,155,Drama            ,7.7
The Dream Team,1989,R,113,"Comedy, Crime, Thriller            ",6.5
Death Wish 3,1985,Unrated,90,"Action, Crime, Drama            ",5.8
The Cottage,2008,R,92,"Comedy, Crime, Horror            ",6.1
The Patriot,1998,R,90,"Action, Thriller            ",4.2
Romance & Cigarettes,2005,PG-13,105,"Comedy, Musical, Romance            ",6.2
The Wraith,1986,R,93,"Action, Horror, Romance            ",5.9
Very Good Girls,2013,PG-13,91,"Drama, Romance            ",5.9
Temptation: Confessions of a Marriage Counselor,2013,R,111,Drama            ,4.9
Topsy-Turvy,1999,PG-13,160,"Biography, Comedy, Drama            ",7.3
Barbershop 2: Back in Business,2004,R,106,"Comedy, Drama            ",5.7
Samba,2014,R,118,"Comedy, Drama, Romance            ",6.7
Kevin & Perry Go Large,2000,PG-13,82,"Comedy, Music            ",5.7
Trapped in Paradise,1994,PG,111,"Adventure, Comedy, Crime            ",5.9
"Corrina, Corrina",1994,R,115,"Comedy, Drama, Romance            ",6.6
Paris,2008,PG,130,"Comedy, Drama, Romance            ",6.8
Dreamer,2005,Not Rated,106,"Drama, Family, Sport            ",6.8
Blood: The Last Vampire,2000,PG,48,"Animation, Action, Horror            ",6.6
Amelia,2009,R,111,"Adventure, Biography, Drama            ",5.8
The Warrior,2001,PG-13,158,"Action, Drama, History            ",7.2
Phoenix,2014,R,98,"Drama, History, Music            ",7.3
Mona Lisa,1986,R,104,"Crime, Drama, Romance            ",7.3
Valmont,1989,R,137,"Drama, Romance            ",7.0
Meeting Evil,2012,Not Rated,89,"Crime, Drama, Mystery            ",5.3
Ugly,2013,R,128,"Crime, Drama, Mystery            ",7.9
Edmond,2005,Not Rated,82,"Drama, Thriller            ",6.2
Berberian Sound Studio,2012,R,92,"Drama, Horror, Thriller            ",6.2
High Heels,1991,PG,112,"Comedy, Drama, Romance            ",7.0
Battle for Terra,2007,PG-13,85,"Animation, Action, Adventure            ",6.5
Brideshead Revisited,2008,PG-13,133,"Drama, Romance            ",6.6
Once Bitten,1985,PG-13,94,"Comedy, Horror            ",5.5
The Comebacks,2007,Not Rated,84,"Comedy, Sport            ",4.3
Twelve OClock High,1949,R,132,"Drama, War            ",7.7
Backcountry,2014,PG-13,92,"Adventure, Drama, Horror            ",6.0
The Woman in Red,1984,R,87,"Comedy, Romance            ",5.9
Cherry Falls,1999,Not Rated,92,"Horror, Mystery, Thriller            ",5.2
Life Is a Miracle,2004,Not Rated,155,"Comedy, Romance, Music            ",7.5
The Life and Death of Colonel Blimp,1943,Not Rated,163,"Drama, Romance, War            ",8.0
Womb,2010,R,111,"Drama, Romance, Sci-Fi            ",6.3
Stan Helsing,2009,PG,108,"Comedy, Fantasy, Horror            ",3.6
Music of the Heart,1999,R,124,"Drama, Music            ",6.8
Shadow Dancer,2012,PG,101,"Drama, Mystery, Thriller            ",6.2
Cry Freedom,1987,PG-13,157,"Biography, Drama, History            ",7.4
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,R,96,"Action, Adventure, Drama            ",6.1
Raising Cain,1992,R,92,"Crime, Drama, Horror            ",6.1
Chinese Puzzle,2013,R,117,"Comedy, Drama, Romance            ",6.9
Mondays in the Sun,2002,PG,113,"Comedy, Drama            ",7.5
